No,StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q1_1,Q2,Q10,Q10_10_TEXT,Q11,Q11_10_TEXT,Q12,Q12_10_TEXT,Q60,Q60_6_TEXT,Q13,Q13_4_TEXT,Q14,Q14_5_TEXT,Q13.1,Q15,Q6,Q6_3_TEXT,memberNo,userId,Q_DataPolicyViolations,gender,age_group,rgn_nm,bmclub,is_mfo,order_rank,BAEMIN_ord_cnt,stod_ord_cnt,BAERA_ord_cnt,BAERA_ord_cnt.1,total_ord_cnt
0,45947.45882,45947.45925,0,,100,37,1,45947.45926,R_43MoHf0bkzPTpYd,,,,,,,anonymous,KO,1,9,쉽게 밥을 사먹을수있어서,9,,,,,,,,,,1,,,,1,,2.3021E+11,,,MALE,10대,수도권,구독,한그룻 주문경험O,1,0,18,1,1,20
1,45947.45898,45947.45941,0,,100,36,1,45947.45942,R_9QRK0dS1TKBJWzQ,,,,,,,anonymous,KO,1,10,배달비무료,7,,,,,,4,,,,,,,쿠폰 많음,"1,2,4",,1.90503E+11,,,MALE,20대,지방,구독,한그룻 주문경험X,1,0,3,0,0,3
2,45947.45905,45947.45962,0,,100,48,1,45947.45963,R_9gSX804e9vbwM2t,,,,,,,anonymous,KO,1,8,좋습니다. 전반적으로,,,7,,,,4,,,,,,,혜택이 좋으면,"1,2,4,5",,1.90426E+11,,,MALE,30대,수도권,미구독,한그룻 주문경험X,1,0,1,1,0,2
3,45947.45884,45947.45969,0,,100,72,1,45947.4597,R_9FhVrbNcnBpsDp0,,,,,,,anonymous,KO,1,5,그냥 적절하다. 적절한 취향을 탄다,,,,,7,,5,,,,,,,맴버쉽 할인 요소가 적절하다,"1,2,3",먹깨비,2.00808E+11,,,MALE,40대,지방,구독,한그룻 주문경험X,1,2,12,0,0,14
4,45947.45907,45947.45975,0,,100,57,1,45947.45976,R_9Ggrd9JMeonhsE9,,,,,,,anonymous,KO,1,7,배송이빠르고임식리뷰가믿음이감,,,8,,,,,,1,,,,,음식이식지않게빠르게배달해줌,1,,2.01128E+11,,,FEMALE,40대,지방,미구독,한그룻 주문경험X,1,3,0,0,0,3
5,45947.45934,45947.4598,0,,100,40,1,45947.45982,R_9jqXEkcLJaP43a6,,,,,,,anonymous,KO,1,5,필요는한데 비쌈,,,,,7,,2,,,,,,,너무 높...,1,,1.5012E+11,,,FEMALE,30대,광역시,구독,한그룻 주문경험X,1,0,8,7,5,20
6,45947.45953,45947.46022,0,,100,60,1,45947.46023,R_9lKKxoo69T5eBMt,,,,,,,anonymous,KO,1,4,타플래폼 대비 배달이 너무 늦게 와요,,,,,8,,,,1,,,,,배차가 너무 늦게 되는 것 같아요,8,,1.8121E+11,,,FEMALE,20대,수도권,구독,한그룻 주문경험X,1,1,5,0,0,6
7,45947.45931,45947.46027,0,,100,83,1,45947.46028,R_9gbEt556eKS034s,,,,,,,anonymous,KO,1,6,나름 구독하면 즉시할인이나 이벤트가 많아서여,,,,,7,,3,,,,,,,배달팁 말도안되게 비쌀때 있음,"1,2,4",,1.80101E+11,,,FEMALE,30대,수도권,구독,한그룻 주문경험O,1,0,6,1,1,8
8,45947.45887,45947.46037,0,,100,129,1,45947.46038,R_91aBobty9ovZ9ed,,,,,,,anonymous,KO,1,5,"전엔 한눈에 보기 좋았는데 요샌 너무 구석구석 찾아야 함
그리고 배달료가 너무 비쌈",,,,,7,,3,,,,,,,배민의 높은 수수료로 인해 배달료 배달팁이 비싸진 것,"1,2,4",,1.81013E+11,,,FEMALE,30대,지방,미구독,한그룻 주문경험X,1,3,0,0,1,4
9,45947.45975,45947.4605,0,,100,65,1,45947.46051,R_9JJyibwNLHjOjJ1,,,,,,,anonymous,KO,1,10,밥먹기편해요,7,,,,,,3,,,,,,,매달 1990원만 내면 무료로 배달해줘서요,8,,2.01017E+11,,,MALE,30대,광역시,구독,한그룻 주문경험O,1,1,8,1,2,12
