,ResponseId,Q2,Q1_1,classification,category,sub_category,Unnamed: 6,Unnamed: 7,Unnamed: 8,gender,age_group,rgn_nm
0,R_4rDVaJHZGpgsBNv,다양한 음식들을 직접 가지 않고도 집에서 편한게 주문하고 맛볼 수 있어서,9,가게/메뉴 다양성 > 다양한 메뉴,가게/메뉴 다양성,다양한 메뉴,,,,MALE,40대,수도권
1,R_4GJsVYKYBp8YIPH,선택의폭이 타앱에비해 월등히 많음,10,가게/메뉴 다양성 > 가게 많음,가게/메뉴 다양성,가게 많음,,,,FEMALE,40대,수도권
2,R_9KdT7CsQ4gife2R,배달료가 비싸다,3,배달팁 > 배달팁 높음,배달팁,배달팁 높음,,,,FEMALE,40대,수도권
3,R_98ZAUqjlLmsmy8D,가게가 다 등록되어있고 프로모션도 많고 이벤트도 많아요,10,가게/메뉴 다양성 > 가게 많음,가게/메뉴 다양성,가게 많음,,,,FEMALE,40대,수도권
4,R_44GXn7zMm3dswOg,간단하게 주문하고 매장에서 먹는 퀄리티로 먹을수 있어서입니다~ 메뉴도 다양하고요,9,가게/메뉴 다양성 > 다양한 메뉴,가게/메뉴 다양성,다양한 메뉴,,,,FEMALE,50대 이상,수도권
5,R_41ZPBY3T5vH5usZ,타 경쟁사와 특별한게 없어요,5,기타 > 차별성 부족/평범함,기타,차별성 부족/평범함,,, ,MALE,50대 이상,지방
6,R_9RR4i2oFVXIf2iY,다들 배민은 기본적으로 다있으니깐,5,기타 > 대중성/인지도,기타,대중성/인지도,,,,FEMALE,40대,지방
7,R_9EL6sWYMgWHuq1X,"배달료가 너무 비싸요. 타 플랫폼(쿠팡이츠, 땡겨요) 등은 배달비가 거의 안들어서 더 자주 이용해요",6,배달팁 > 배달팁 높음,배달팁,배달팁 높음,,,,FEMALE,30대,지방
8,R_9noXpLqjgSy7KZy,1인메뉴배달,10,가게/메뉴 다양성 > 1인분 메뉴,가게/메뉴 다양성,1인분 메뉴,,,,FEMALE,40대,수도권
9,R_4ezQNnHYHOjesn6,여러가지 음식을 한번에시킬수있어서,10,가게/메뉴 다양성 > 다양한 메뉴,가게/메뉴 다양성,다양한 메뉴,,,,FEMALE,40대,수도권
10,R_9HlX9Oq2RCDZXaN,주문할 수 있는 매장이 다양함,10,가게/메뉴 다양성 > 가게 많음,가게/메뉴 다양성,가게 많음,,,,FEMALE,30대,수도권
11,R_9lKKxoo69T5eBMt,타플래폼 대비 배달이 너무 늦게 와요,4,배달속도 > 배달 속도 느림,배달속도,배달 속도 느림, ,,,FEMALE,20대,수도권
12,R_9aS6oV9yFTxHhlg,보통입니더,5,기타 > 기타,기타,기타,,,,MALE,30대,지방
13,R_4YRorpqgPTHRHbr,인터넷에나오는 이미지 ,1,기타 > 이미지/느낌 부정적,기타,이미지/느낌 부정적,,,,FEMALE,20대,지방
14,R_9LZSOa2CmTsymma,배달기사님에게 배달비 단가를 그지같이주니 서비스의질이 높아 지겠냐?,1,기타 > 사회적 기여,기타,사회적 기여,,,,MALE,30대,지방
15,R_9LZSOa2CmTsymma,배달기사님에게 배달비 단가를 그지같이주니 서비스의질이 높아 지겠냐?,1,기타 > 이미지/느낌 부정적,기타,이미지/느낌 부정적,,,,MALE,30대,지방
16,R_9eQkRcydZtoakX3,편의..실시간조리..배달..다양한 컨텐츠..,10,가게/메뉴 다양성 > 다양한 메뉴,가게/메뉴 다양성,다양한 메뉴,,,,MALE,40대,지방
17,R_91gSmzLZLiFrKAg,음식 다양하고 맛있어요,10,가게/메뉴 다양성 > 다양한 메뉴,가게/메뉴 다양성,다양한 메뉴,,,,FEMALE,40대,수도권
18,R_48tSUC486QWCX0R,편리하고 이벤트도 다양해서 골라먹는 재미도 잇어요,10,가게/메뉴 다양성 > 다양한 메뉴,가게/메뉴 다양성,다양한 메뉴,,,,FEMALE,40대,광역시
19,R_9lJ1LiTmT2PfqF3,배민클럽이 비싸다고 생각해서,8,멤버십 혜택 > 멤버십 비용,멤버십 혜택,멤버십 비용,,,,FEMALE,30대,지방
20,R_4NgR06jYgnr0ZUZ,그냥 보통이라,5,기타 > 기타,기타,기타,,,,MALE,30대,지방
21,R_4fMKA7G4szzi6hB,빠른배달및메뉴의다양성,9,가게/메뉴 다양성 > 다양한 메뉴,가게/메뉴 다양성,다양한 메뉴,,,,MALE,50대 이상,지방
22,R_9CabJXhs2hfUF9E,많은 업체,10,가게/메뉴 다양성 > 가게 많음,가게/메뉴 다양성,가게 많음,,,,FEMALE,30대,광역시
23,R_9Lh7827e2Looyyk,리뷰도 그렇고 메뉴마다 추천 맛집이 많아서 괜찮은거 같네요 ,10,가게/메뉴 다양성 > 인기 맛집 많음,가게/메뉴 다양성,인기 맛집 많음,,,,MALE,40대,광역시
24,R_4rMU1D0EMdk7qj7,땡겨요 가격이 더 비쌈,6,메뉴 가격 > 높은 가격,메뉴 가격,높은 가격,,,,FEMALE,50대 이상,지방
25,R_4mwUycTSRRGPabn,편함 등록된 가게수도 많은편,6,없음 > 없음,없음,없음,,,,FEMALE,30대,광역시
26,R_4mwUycTSRRGPabn,편함 등록된 가게수도 많은편,6,없음 > 없음,없음,없음,,,,FEMALE,30대,광역시
27,R_4BEZQxwr9UnwKI1,입점 점포가 많다,7,가게/메뉴 다양성 > 가게 많음,가게/메뉴 다양성,가게 많음,,,,FEMALE,50대 이상,수도권
28,R_4Uc4v1v4v1Na91Y,이유 없음,5,기타 > 기타,기타,기타,,,,FEMALE,40대,지방
29,R_9HaAM054FSUt5qp,다양한메뉴가있어서,8,가게/메뉴 다양성 > 다양한 메뉴,가게/메뉴 다양성,다양한 메뉴,,,,FEMALE,40대,수도권
30,R_41iS0cpUQNBLqsm,돈이 없어서 못 머거용,4,기타 > 사용 가치 부족,기타,사용 가치 부족,,,,MALE,10대,지방
31,R_4bZP4wQEdGkOnzc,본인들 유리한쪽으로 시스템이나 인터페이스 자꾸 변경하고 가게나 고객 우롱하는 어플,0,기타 > 고객 서비스 응대,기타,고객 서비스 응대,,,,MALE,40대,지방
32,R_4bZP4wQEdGkOnzc,본인들 유리한쪽으로 시스템이나 인터페이스 자꾸 변경하고 가게나 고객 우롱하는 어플,0,앱 사용 편리성 > UI/디자인/화면구성,앱 사용 편리성,UI/디자인/화면구성,,,,MALE,40대,지방
33,R_4fwJOgOfJA7Vbea,다양한 메뉴 선정 가능,10,가게/메뉴 다양성 > 다양한 메뉴,가게/메뉴 다양성,다양한 메뉴,,,,MALE,40대,지방
34,R_42XsW8ImZjJXHGk,다양한이벤트 ᆢ쿠폰증정ㆍ1인무료배달음식,10,가게/메뉴 다양성 > 1인분 메뉴,가게/메뉴 다양성,1인분 메뉴,,,,MALE,50대 이상,수도권
35,R_4jPXdF3FrulS6V8,1위입니당,7,기타 > 대중성/인지도,기타,대중성/인지도,,,,FEMALE,10대,수도권
36,R_4sU3wYDVdQxAlmS,xiuuu,4,기타 > 기타,기타,기타,, ,,MALE,20대,수도권
37,R_4IVaYJI9SFkMCm5,"집에서던 야외활동 할 때도
언제든 
주문해서 편하게 받을 수 있어
좋아요",7,앱 사용 편리성 > 결제 편의성,앱 사용 편리성,결제 편의성,,,,FEMALE,40대,광역시
38,R_4IVaYJI9SFkMCm5,"집에서던 야외활동 할 때도
언제든 
주문해서 편하게 받을 수 있어
좋아요",7,기타 > 사용 편의성,기타,사용 편의성,,,,FEMALE,40대,광역시
39,R_4o0XOcB7fN8acvc,매장보다 가격이 비싸서,5,메뉴 가격 > 앱과 매장가격 불일치,메뉴 가격,앱과 매장가격 불일치,,,,FEMALE,50대 이상,수도권
40,R_4C9ZEGANrhBaviu,쿠폰 적용 안되는 가게 많음.,3,혜택(할인 및 쿠폰) > 쿠폰 사용조건/기한,혜택(할인 및 쿠폰),쿠폰 사용조건/기한,,,,FEMALE,40대,광역시
