nps_group,category_type,category_value,unweighted_respondents,weighted_respondents,unweighted_rate(%),weighted_rate(%),difference(%)
Detractor,category,배달팁,225,259.98,21.97,24.2,2.23
Detractor,sub_category,배달팁 높음,208,244.79,20.31,22.78,2.47
Detractor,category,혜택(할인 및 쿠폰),162,173.96,15.82,16.19,0.37
Detractor,category,메뉴 가격,115,122.61,11.23,11.41,0.18
Detractor,category,배달속도,113,102.4,11.04,9.53,-1.5
Detractor,sub_category,배달 속도 느림,102,93.46,9.96,8.7,-1.26
Detractor,category,앱 사용 편리성,75,79.55,7.32,7.4,0.08
Detractor,category,도착 예정 시간에 배달,78,76.92,7.62,7.16,-0.46
Detractor,sub_category,높은 가격,66,70.76,6.45,6.59,0.14
Detractor,sub_category,사회적 기여,57,59.96,5.57,5.58,0.01
Detractor,category,포장/배달 상태,67,59.84,6.54,5.57,-0.97
Detractor,sub_category,차별성 부족/평범함,56,59.85,5.47,5.57,0.1
Detractor,sub_category,혜택 다양성,43,49.69,4.2,4.63,0.43
Detractor,sub_category,앱과 매장가격 불일치,46,48.42,4.49,4.51,0.02
Detractor,sub_category,음식 품질,54,48.09,5.27,4.48,-0.8
Detractor,sub_category,쿠폰,43,45.49,4.2,4.23,0.03
Detractor,sub_category,이미지/느낌 부정적,42,45.09,4.1,4.2,0.1
Detractor,category,멤버십 혜택,35,38.88,3.42,3.62,0.2
Detractor,sub_category,배달 시간 부정확,39,36.77,3.81,3.42,-0.39
Detractor,sub_category,배달 비용 지출 부담,29,34.32,2.83,3.19,0.36
Detractor,category,최소주문금액,30,32.47,2.93,3.02,0.09
Detractor,sub_category,최소주문금액 높음,30,32.47,2.93,3.02,0.09
Detractor,sub_category,고객 서비스 응대,30,30.45,2.93,2.83,-0.1
Detractor,sub_category,할인 혜택,29,27.0,2.83,2.51,-0.32
Detractor,sub_category,배달 지연,26,26.68,2.54,2.48,-0.06
Detractor,category,가게를 믿고 주문,31,26.13,3.03,2.43,-0.6
Detractor,sub_category,대중성/인지도,29,25.82,2.83,2.4,-0.43
Detractor,sub_category,라이더 배차/픽업 지연,23,25.61,2.25,2.38,0.14
Detractor,category,가게/메뉴 다양성,28,25.4,2.73,2.36,-0.37
Detractor,sub_category,이벤트,23,25.0,2.25,2.33,0.08
Detractor,sub_category,쿠폰 사용조건/기한,21,21.67,2.05,2.02,-0.03
Detractor,sub_category,고객 서비스 연결,13,19.48,1.27,1.81,0.54
Detractor,sub_category,사용 가치 부족,14,18.45,1.37,1.72,0.35
Detractor,sub_category,배달 서비스,19,17.57,1.86,1.64,-0.22
Detractor,sub_category,멤버십 혜택 불만,17,17.51,1.66,1.63,-0.03
Detractor,sub_category,다른 앱 선호,10,17.27,0.98,1.61,0.63
Detractor,sub_category,경쟁력 및 시장 비교,13,16.4,1.27,1.53,0.26
Detractor,sub_category,한집배달 의심/불만,17,15.6,1.66,1.45,-0.21
Detractor,sub_category,멤버십 구독 유도,12,15.24,1.17,1.42,0.25
Detractor,sub_category,가게/메뉴 개수 적음,18,15.06,1.76,1.4,-0.36
Detractor,sub_category,UI/디자인/화면구성,9,14.56,0.88,1.36,0.48
Detractor,sub_category,리뷰 신뢰도,11,13.22,1.07,1.23,0.16
Detractor,sub_category,개인적 선호,16,11.74,1.56,1.09,-0.47
Detractor,sub_category,배달사고/누락,14,10.32,1.37,0.96,-0.41
Detractor,sub_category,서비스 품질,7,10.13,0.68,0.94,0.26
Detractor,sub_category,배달현황 편의성,8,9.13,0.78,0.85,0.07
Detractor,sub_category,배달 취소,7,8.98,0.68,0.84,0.15
Detractor,sub_category,무료배달 아님,12,9.02,1.17,0.84,-0.33
Detractor,sub_category,라이더 불친절,9,7.58,0.88,0.71,-0.17
Detractor,sub_category,혜택,8,7.06,0.78,0.66,-0.12
Detractor,sub_category,불만족,6,7.13,0.59,0.66,0.08
Detractor,sub_category,포장 비용 발생,6,6.96,0.59,0.65,0.06
Detractor,sub_category,결제 편의성,9,6.64,0.88,0.62,-0.26
Detractor,sub_category,멤버십 비용,7,6.56,0.68,0.61,-0.07
Detractor,sub_category,검색 편의성,5,6.6,0.49,0.61,0.13
Detractor,sub_category,평점 신뢰도,3,6.2,0.29,0.58,0.28
Detractor,sub_category,사용 편의성,6,6.07,0.59,0.56,-0.02
Detractor,sub_category,낮은 사용 빈도/필요성,7,5.93,0.68,0.55,-0.13
Detractor,sub_category,결제수단 제한,4,5.68,0.39,0.53,0.14
Detractor,sub_category,비자발적 주문 취소,7,5.47,0.68,0.51,-0.17
Detractor,sub_category,광고 노출,3,5.45,0.29,0.51,0.21
Detractor,sub_category,외국인 라이더,3,5.16,0.29,0.48,0.19
Detractor,category,적용 가능한 혜택,7,4.91,0.68,0.46,-0.23
Detractor,sub_category,배달 지연 쿠폰/포인트,2,4.79,0.2,0.45,0.25
Detractor,sub_category,고객 서비스,4,4.72,0.39,0.44,0.05
Detractor,sub_category,다양성,5,4.51,0.49,0.42,-0.07
Detractor,sub_category,배달 안정성,3,4.27,0.29,0.4,0.1
Detractor,sub_category,라이더 전문성,6,4.31,0.59,0.4,-0.18
Detractor,sub_category,필요성,5,4.19,0.49,0.39,-0.1
Detractor,sub_category,원하는 가게 없음,4,4.22,0.39,0.39,0.0
Detractor,sub_category,기존 회원 혜택,2,4.23,0.2,0.39,0.2
Detractor,sub_category,광고/마케팅,3,3.93,0.29,0.37,0.07
Detractor,sub_category,자체배달,2,3.97,0.2,0.37,0.17
Detractor,sub_category,가게/메뉴 정보,4,3.77,0.39,0.35,-0.04
Detractor,sub_category,포인트 적립,3,3.59,0.29,0.33,0.04
Detractor,sub_category,라이더 요청사항 미반영,5,3.44,0.49,0.32,-0.17
Detractor,sub_category,무료배달 제한,3,3.47,0.29,0.32,0.03
Detractor,sub_category,필터,2,3.14,0.2,0.29,0.1
Detractor,sub_category,포장 주문 제한,3,3.05,0.29,0.28,-0.01
Detractor,sub_category,배달 알림 미제공,2,2.75,0.2,0.26,0.06
Detractor,sub_category,배달팁 추가 발생,2,2.7,0.2,0.25,0.06
Detractor,sub_category,상품권 사용 편의성,3,2.59,0.29,0.24,-0.05
Detractor,sub_category,메뉴 탐색 편의성,4,2.62,0.39,0.24,-0.15
Detractor,sub_category,배달 운영 시간,2,2.4,0.2,0.22,0.03
Detractor,sub_category,플랫폼 특성,1,2.4,0.1,0.22,0.13
Detractor,sub_category,배달 지연 대처,1,2.4,0.1,0.22,0.13
Detractor,category,앱에서만 주문 가능,2,2.31,0.2,0.21,0.02
Detractor,sub_category,다른 앱에 없는 가게,2,2.31,0.2,0.21,0.02
Detractor,sub_category,지역별 차이,2,2.31,0.2,0.21,0.02
Detractor,sub_category,쿠폰 사용성,3,2.14,0.29,0.2,-0.09
Detractor,sub_category,배달 서비스 특성,1,2.01,0.1,0.19,0.09
Detractor,sub_category,미끼성 쿠폰,3,1.92,0.29,0.18,-0.11
Detractor,sub_category,선착순 제한,2,1.92,0.2,0.18,-0.02
Detractor,category,가게/메뉴 트렌디함,3,1.8,0.29,0.17,-0.13
Detractor,sub_category,배달 속도 일관성 부족,2,1.81,0.2,0.17,-0.03
Detractor,sub_category,리뷰 작성/수정 편의성,2,1.83,0.2,0.17,-0.03
Detractor,sub_category,배달현황 위치 정확도,1,1.83,0.1,0.17,0.07
Detractor,sub_category,요청사항 입력 편의성,3,1.74,0.29,0.16,-0.13
Detractor,sub_category,취소/환불 편의성,2,1.72,0.2,0.16,-0.03
Detractor,sub_category,간편결제 유도 불만,2,1.74,0.2,0.16,-0.03
Detractor,sub_category,리뷰 확인 편의성,1,1.66,0.1,0.15,0.06
Detractor,sub_category,가게 오픈시간,2,1.49,0.2,0.14,-0.06
Detractor,sub_category,탐색 편의성,1,1.36,0.1,0.13,0.03
Detractor,sub_category,1인분 메뉴,2,1.18,0.2,0.11,-0.09
Detractor,sub_category,접근성,1,1.23,0.1,0.11,0.02
Detractor,sub_category,제휴 혜택,2,1.06,0.2,0.1,-0.1
Detractor,sub_category,신뢰,1,0.94,0.1,0.09,-0.01
Detractor,sub_category,신규 메뉴/가게 부족,1,0.95,0.1,0.09,-0.01
Detractor,sub_category,업주 소통,2,0.97,0.2,0.09,-0.11
Detractor,sub_category,인기 맛집 적음,2,0.85,0.2,0.08,-0.12
Detractor,sub_category,배달 지역 좁음,1,0.83,0.1,0.08,-0.02
Detractor,sub_category,위생,2,0.78,0.2,0.07,-0.12
Detractor,sub_category,카테고리,1,0.71,0.1,0.07,-0.03
Detractor,sub_category,유용성,1,0.71,0.1,0.07,-0.03
Detractor,sub_category,기능/서비스 다양성,1,0.73,0.1,0.07,-0.03
Detractor,sub_category,활용도,1,0.66,0.1,0.06,-0.04
Detractor,sub_category,혜택 중복 적용,2,0.66,0.2,0.06,-0.13
Detractor,sub_category,정보/컨텐츠,2,0.55,0.2,0.05,-0.14
Detractor,sub_category,결제수단 등록 비선호,1,0.4,0.1,0.04,-0.06
Detractor,sub_category,가게 요청사항 미반영,1,0.4,0.1,0.04,-0.06
Detractor,sub_category,우천/설천 시 배달,1,0.43,0.1,0.04,-0.06
Detractor,sub_category,멀티매장,1,0.43,0.1,0.04,-0.06
Detractor,sub_category,혜택 정보,1,0.42,0.1,0.04,-0.06
Detractor,sub_category,포장 훼손,1,0.35,0.1,0.03,-0.06
Detractor,sub_category,배달수단,1,0.33,0.1,0.03,-0.07
High-Risk,category,배달팁,61,74.69,26.18,28.44,2.26
