,StartDate,EndDate,Duration (in seconds),Finished,RecordedDate,ResponseId,Q1,Q2,gender,age_group,rgn_nm,bmclub,division,memberNo,SEG,weight
24,2025-10-16 17:01:35,2025-10-16 17:02:49,74,TRUE,2025-10-16 17:02:50,R_4iwlXjKSdwndbSQ,3 ,배차가 너무너무 안됨...느림..... 빠른 배송이 메리트라 생각하는데 딱히 그렇지도 않음,FEMALE,20대이하,수도권,구독,[Store],2.00112E+11,FEMALE20대이하,
34,2025-10-16 17:02:50,2025-10-16 17:03:10,20,TRUE,2025-10-16 17:03:11,R_4v1UamDEeTqBDA5,8 ,빠르게 배달을 바로 받을수있고 종류도 많아요,FEMALE,20대이하,수도권,구독,[BMART],1.91007E+11,FEMALE20대이하,
47,2025-10-16 17:03:16,2025-10-16 17:03:46,29,TRUE,2025-10-16 17:03:47,R_4kd1sCk06Nqch80,8 ,편리함은 정말 우수하지만 가격적인 부분이 늘 걸려요,FEMALE,20대이하,수도권,미구독,[Store],2.20624E+11,FEMALE20대이하,
55,2025-10-16 17:01:32,2025-10-16 17:04:19,167,TRUE,2025-10-16 17:04:21,R_9LAIkyKSAyNFaoa,8 ,빨리 와서 좋음 근데 고객센터 연결이 너무 힘듦.... CS 인력 좀 늘려주세요 고객센터 전화하 고 상담사 연결을 기다리다가 7분 지나서 끊긴게 몇번인지 모르겠어요 사람 좀 써줬으면 좋겠네요 그 외에 UX는 좋은 편입니다.,FEMALE,20대이하,수도권,미구독,[BMART],1.80421E+11,FEMALE20대이하,
91,2025-10-16 17:05:16,2025-10-16 17:06:09,52,TRUE,2025-10-16 17:06:10,R_963fpg0TGTd9dIL,6 ,"생각보다 배송이 너무 느려요. 너무너무! 
특히 늦은시간에 기사님 배차가 안돼면 한시간 넘게 기다리다가 취소하는 일 발생. ",FEMALE,20대이하,수도권,미구독,[BMART],1.90201E+11,FEMALE20대이하,
97,2025-10-16 17:04:41,2025-10-16 17:06:19,98,TRUE,2025-10-16 17:06:20,R_94Vov0AaZOwWJMd,7 ,"당일날 바로 온다는 게 장점! 이벤트도 많아요 다만 최소주문금액, 배달팁이 조금 부담스러웠다는 기억이 있습니다! 아마 무료배달에 익숙해져서 비교되는 거 같아요",FEMALE,20대이하,수도권,구독,[BMART],1.80106E+11,FEMALE20대이하,
112,2025-10-16 17:06:08,2025-10-16 17:06:59,51,TRUE,2025-10-16 17:07:01,R_9S2KMnDxfxq6mjp,10 ,필요할 때 소량씩 바로 구매가능해서 편리합니다.,FEMALE,20대이하,수도권,구독,"[BMART, Store]",1.71104E+11,FEMALE20대이하,
119,2025-10-16 17:06:38,2025-10-16 17:07:17,38,TRUE,2025-10-16 17:07:17,R_9UaWCS3Vg7t0EHx,10 ,"편하고 너무 좋아요.
신제품이 더 자주 업데이트됐으면 좋겠어요",FEMALE,20대이하,수도권,구독,[BMART],2.01405E+11,FEMALE20대이하,
132,2025-10-16 17:04:30,2025-10-16 17:08:08,218,TRUE,2025-10-16 17:08:10,R_9GiJUiYub207Zm1,8 ,"할인을 자주 해서 좋아요 ~
집까지 들고오기 무거운 대용량 음료 같은거 편하게 받아봐서 좋아요",FEMALE,20대이하,수도권,구독,[BMART],1.9061E+11,FEMALE20대이하,
139,2025-10-16 17:07:52,2025-10-16 17:08:14,22,TRUE,2025-10-16 17:08:15,R_4YPc55CNLS2LcgN,8 ,편하게 빠른 배송을 받을 수 있음,FEMALE,20대이하,수도권,미구독,[BMART],1.70803E+11,FEMALE20대이하,
144,2025-10-16 17:08:08,2025-10-16 17:08:24,16,TRUE,2025-10-16 17:08:26,R_4kcilgSUqo22pPQ,8 ,편해요,FEMALE,20대이하,수도권,구독,[BMART],1.90915E+11,FEMALE20대이하,
182,2025-10-16 17:09:12,2025-10-16 17:09:24,12,TRUE,2025-10-16 17:09:25,R_9jOMheVKczcJ8qJ,10 ,귯웃,FEMALE,20대이하,수도권,구독,[BMART],1.90321E+11,FEMALE20대이하,
189,2025-10-16 17:06:24,2025-10-16 17:09:30,185,TRUE,2025-10-16 17:09:31,R_9fy84FxW4RQC5Fv,10 ,"가끔 마트나 ㅋㅍ보다 쌀때도있고, 사고싶지만 근처 마트에서는 팔지않을때 배민에서 구할수도있어서 좋아요. 고기도 할인가로 자주 나와서 진짜 많이 사는거같아요. 이런점이나 다른점들도잇지만 여러가지가 다 좋아서 친한사람들한테 추천많이합니다. 추천해준사람들 대부분 사용하기도하구요",FEMALE,20대이하,수도권,구독,[BMART],1.80525E+11,FEMALE20대이하,
213,2025-10-16 17:07:51,2025-10-16 17:10:10,138,TRUE,2025-10-16 17:10:11,R_4Ge06IOf886iyWO,10 ,구매하고자 하는 대부분의 물품들이 구비되어있습니다. 다른 마트와 가격 비교를 했을 때도 큰 차이가 없지만 이벤트로 주는 쿠폰 적용을 했을 때 더 저렴합니다. 그리고 배달이 신속하고 빠르다는 장점이 큽니다!,FEMALE,20대이하,수도권,구독,"[BMART, Store]",2.10215E+11,FEMALE20대이하,
