"gender","age_group","rgn_nm","bmclub","division","mem_cnt","TOTAL_CNT","mem_rate"
"MALE","30대","수도권","미구독","[BMART, Store]",4239,1446370,"0.2931"
"MALE","50대 이상","지방","미구독","[BMART, Store]",371,1446370,"0.0257"
"FEMALE","50대 이상","수도권","구독","[BMART]",19420,1446370,"1.3427"
"MALE","40대","지방","미구독","[BMART]",5618,1446370,"0.3884"
"FEMALE","20대 이하","지방","미구독","[BMART, Store]",3875,1446370,"0.2679"
"FEMALE","20대 이하","수도권","구독","[Store]",16055,1446370,"1.1100"
"MALE","30대","수도권","구독","[Store]",16637,1446370,"1.1503"
"FEMALE","40대","수도권","미구독","[BMART]",56333,1446370,"3.8948"
"MALE","20대 이하","지방","미구독","[Store]",23020,1446370,"1.5916"
"FEMALE","30대","지방","구독","[Store]",19251,1446370,"1.3310"
"MALE","50대 이상","수도권","구독","[BMART]",7893,1446370,"0.5457"
"MALE","50대 이상","수도권","구독","[Store]",2965,1446370,"0.2050"
"MALE","40대","지방","미구독","[Store]",14900,1446370,"1.0302"
"MALE","50대 이상","지방","구독","[BMART]",2247,1446370,"0.1554"
"FEMALE","30대","수도권","구독","[Store]",16154,1446370,"1.1169"
"MALE","30대","지방","미구독","[BMART, Store]",1661,1446370,"0.1148"
"MALE","30대","수도권","구독","[BMART]",38324,1446370,"2.6497"
"MALE","40대","지방","구독","[BMART, Store]",1093,1446370,"0.0756"
"FEMALE","40대","수도권","구독","[BMART]",46257,1446370,"3.1981"
"FEMALE","50대 이상","수도권","구독","[Store]",4643,1446370,"0.3210"
"FEMALE","20대 이하","수도권","구독","[BMART]",58511,1446370,"4.0454"
"FEMALE","30대","수도권","구독","[BMART, Store]",12142,1446370,"0.8395"
"MALE","30대","지방","미구독","[BMART]",10793,1446370,"0.7462"
"FEMALE","50대 이상","수도권","미구독","[BMART]",27908,1446370,"1.9295"
"MALE","40대","지방","구독","[BMART]",5233,1446370,"0.3618"
"FEMALE","20대 이하","지방","구독","[Store]",19686,1446370,"1.3611"
"FEMALE","20대 이하","지방","미구독","[BMART]",25068,1446370,"1.7332"
"MALE","50대 이상","지방","구독","[BMART, Store]",450,1446370,"0.0311"
"FEMALE","40대","수도권","구독","[BMART, Store]",9346,1446370,"0.6462"
"FEMALE","20대 이하","지방","구독","[BMART]",18173,1446370,"1.2565"
"FEMALE","50대 이상","지방","미구독","[Store]",10024,1446370,"0.6930"
"MALE","50대 이상","지방","구독","[Store]",3679,1446370,"0.2544"
"MALE","40대","수도권","구독","[BMART, Store]",3466,1446370,"0.2396"
"FEMALE","40대","수도권","미구독","[Store]",19378,1446370,"1.3398"
"FEMALE","40대","지방","구독","[BMART, Store]",3064,1446370,"0.2118"
"MALE","20대 이하","지방","구독","[BMART, Store]",1768,1446370,"0.1222"
"MALE","50대 이상","수도권","구독","[BMART, Store]",1343,1446370,"0.0929"
"MALE","50대 이상","수도권","미구독","[Store]",4506,1446370,"0.3115"
"FEMALE","20대 이하","지방","미구독","[Store]",38971,1446370,"2.6944"
"MALE","40대","수도권","구독","[BMART]",19507,1446370,"1.3487"
"MALE","50대 이상","수도권","미구독","[BMART]",9567,1446370,"0.6614"
"FEMALE","30대","지방","미구독","[Store]",36576,1446370,"2.5288"
"FEMALE","50대 이상","수도권","구독","[BMART, Store]",3623,1446370,"0.2505"
"FEMALE","30대","지방","미구독","[BMART, Store]",3951,1446370,"0.2732"
"MALE","30대","수도권","미구독","[Store]",19980,1446370,"1.3814"
"FEMALE","40대","수도권","미구독","[BMART, Store]",7217,1446370,"0.4990"
"MALE","40대","수도권","구독","[Store]",8697,1446370,"0.6013"
"MALE","30대","수도권","미구독","[BMART]",40326,1446370,"2.7881"
"FEMALE","30대","수도권","미구독","[BMART]",95550,1446370,"6.6062"
"FEMALE","30대","수도권","미구독","[BMART, Store]",10737,1446370,"0.7423"
"MALE","20대 이하","수도권","구독","[BMART, Store]",3671,1446370,"0.2538"
"MALE","30대","지방","미구독","[Store]",27835,1446370,"1.9245"
"MALE","40대","수도권","미구독","[Store]",11216,1446370,"0.7755"
"MALE","40대","수도권","미구독","[BMART, Store]",2219,1446370,"0.1534"
"FEMALE","20대 이하","수도권","구독","[BMART, Store]",9049,1446370,"0.6256"
"FEMALE","50대 이상","지방","구독","[BMART]",5053,1446370,"0.3494"
"FEMALE","20대 이하","지방","구독","[BMART, Store]",3755,1446370,"0.2596"
"MALE","50대 이상","지방","미구독","[BMART]",2797,1446370,"0.1934"
